id,date,content,category,tags
32,2023-09-12,チームのプレゼンが社長賞に！みんなでハイタッチして喜んだ♡,仕事,成功,チームワーク
33,2023-09-20,英語で日記を書き始めた。最初は短い文だけど楽しい！,勉強,挑戦,成長
34,2023-09-28,1000ピースのジグソーパズル完成！エッフェル塔が美しい～,趣味,達成感,集中
35,2023-10-06,「幸せになる方法」についてノートに書き出してみた。,思考,幸せ,自己分析
36,2023-10-14,紅葉狩りで山登り。頂上で食べたおにぎりが格別だった！,旅行,山,自然
37,2023-10-22,ストレッチで柔軟性アップ！前屈が前より楽になった～,健康,運動,成長
38,2023-10-30,ハロウィン用かぼちゃのランタン制作。怖くて可愛い仕上がり！,創作,アート,季節
39,2023-11-07,「星の王子さま」を再読。大切なことに気づかされる。,読書,感動,癒し
40,2023-11-15,さつまいものスイートポテト。ほくほく甘くて大成功！,料理,スイーツ,秋
41,2023-11-23,雲の上でトランポリンをする夢。ふわふわ感がリアルだった！,夢,空,楽しい
42,2023-12-01,毎日10分片付けチャレンジ！机の上がスッキリした～,目標,習慣,達成感
43,2023-12-09,クリスマスに「ホームアローン」を観るのが恒例。笑い転げた！,映画,コメディ,家族
44,2023-12-17,ゲームで雪のダンジョンをクリア！クリスタルの世界が美しかった。,ゲーム,冒険,達成感
45,2023-12-25,クリスマスソングをピアノで演奏。家族が一緒に歌ってくれた♡,音楽,家族,幸せ
46,2024-01-08,窓ガラスに雪の結晶が！顕微鏡で観察したら宝石みたいだった。,日常,自然,発見
47,2024-01-16,オフィスの観葉植物に水やり。新芽が出てきて成長が嬉しい！,仕事,癒し,小さな幸せ
48,2024-01-24,プログラミングで簡単なゲーム作成。キャラが動いた瞬間感動！,勉強,IT,達成感
49,2024-02-01,手帳にイラストを描く練習。コップちゃんが少し上手くなった♪,趣味,アート,成長
50,2024-02-09,「自分らしさって何？」とカフェで考えながらチョコレートケーキを食べた。,思考,自分探し,スイーツ
51,2024-02-17,動物園でレッサーパンダの赤ちゃん初公開！寝転がる姿が天使♡,旅行,動物,癒し
52,2024-02-25,生姜湯で体を温めたら、冷え性が改善された気がする！,健康,食事,改善
53,2024-03-08,羊毛で桜のブローチ制作。春らしいピンクが可愛い～,創作,手作り,春
54,2024-03-16,図書館で「ふしぎ駄菓子屋」シリーズ発見！全巻借りる決意。,読書,ファンタジー,ワクワク
55,2024-03-24,いちご大福を手作り。あんこと生クリームのバランスが完璧！,料理,和菓子,春
56,2024-04-03,水族館で泳いでいる夢。イルカと手をつないだよ！,夢,海,動物
57,2024-04-12,早起きチャレンジ10日目！朝日を浴びながらコーヒーが至福。,目標,習慣,健康
58,2024-04-20,「天気の子」を観て、雨の日が好きになった。,映画,アニメ,感動
59,2024-04-28,ゲームのキャラクター衣装デザインコンテストで入賞！,ゲーム,ファッション,成功
60,2024-05-08,カラオケでディズニーソング連続歌唱。プリンセス気分！,音楽,楽しい,挑戦
61,2024-05-16,ひなたぼっこ中の猫に会った。お腹を見せてゴロン♡,日常,動物,癒し
62,2024-05-24,退社後の満月が金色で神秘的！写真に収めたらSNSで好評。,仕事,自然,癒し
63,2024-06-01,折り紙で立体恐竜作成。ティラノサウルスが迫力満点！,勉強,アート,集中
64,2024-06-09,ベランダでミニトマト栽培。赤ちゃんトマトが５個実った！,趣味,ガーデニング,成長
65,2024-06-17,虹が架かるのを見て「幸せのサインだ！」と一人で盛り上がった。,思考,自然,幸せ
66,2024-06-25,古都の寺で苔庭を鑑賞。緑の絨毯に心が洗われる～,旅行,寺,癒し
67,2024-07-03,ランニング中に蝶々が一緒に飛んでくれた！応援されてる気分。,健康,運動,自然
68,2024-07-11,消しゴムはんこでオリジナルスタンプ作成。うさぎの形が可愛い♡,創作,手作り,アート
69,2024-07-19,「窓際のトットちゃん」を読んで、子どもの自由さに憧れた。,読書,エッセイ,感動
70,2024-07-27,冷やし中華の具材をカラフルに盛り付け。SNS映えして大満足！,料理,夏,インスタ映え
71,2024-08-04,宇宙旅行の夢。無重力でプリンがふわふわ浮いてた！,夢,宇宙,お菓子
72,2024-08-12,貯金瓶に500円玉貯金開始！カチカチ音が楽しい～,目標,節約,達成感
73,2024-08-20,「千と千尋」を英語字幕で鑑賞。勉強にもなる一石二鳥！,映画,アニメ,学習
74,2024-08-28,ゲームの釣り大会で伝説の魚をGET！苦戦した分、感動も大きい。,ゲーム,挑戦,達成感
75,2024-09-05,風鈴の音に耳をすませる。涼やかな音色が夏の暑さを和らげる。,音楽,夏,癒し
76,2024-09-13,雨上がりのアスファルトに虹色の油膜が！不思議なアート。,日常,自然,発見
77,2024-09-21,仕事終わりに花屋でひまわりを購入。オフィスが明るくなった！,仕事,花,癒し
78,2024-09-29,地図アプリで日本地理を学習。都道府県形クイズが楽しい～,勉強,地理,ゲーム
79,2024-10-07,フェルトでハロウィンリース制作。お化けちゃんがキュート♡,趣味,手作り,ハロウィン
80,2024-10-15,「小さなことで幸せを見つける方法」をブログに投稿したら反響あり。,思考,幸せ,共有
81,2024-10-23,栗拾い体験！イガグリの中からぷっくり栗を見つけるのが楽しい。,旅行,秋,自然
82,2024-10-31,ハロウィンでかぼちゃプリンを作った。スパイスが効いて大人味！,料理,スイーツ,ハロウィン
83,2024-11-08,星座占いで「今日はラッキーデー」と言われたら、本当に良いことあった！,健康,幸せ,占い
84,2024-11-16,落ち葉でコラージュアート作成。赤と黄色のグラデーションが美しい。,創作,自然,アート
85,2024-11-24,「夜カフェ」という本を読んだら、夜の散歩が楽しくなった。,読書,エッセイ,インスピレーション
86,2024-12-02,シチューをルーから手作り。野菜たっぷりで体が温まる～,料理,冬,家庭料理
87,2024-12-10,雪の結晶がダイヤモンドみたいに輝く夢。目が覚めて窓の外も雪！,夢,雪,キラキラ
88,2024-12-18,年賀状デザインを完成！ウサギのイラストが愛らしい♡,目標,準備,年賀状
89,2024-12-26,「シュレック」を観て大笑い。ロバのツッコミが最高！,映画,コメディ,アニメ
90,2025-01-02,初詣でおみくじを引いたら「大吉」！今年も良い年になりそう。,日常,新年,幸せ
91,2025-01-10,デスクに多肉植物を追加。プニプニの葉っぱが可愛すぎる～,仕事,癒し,植物
92,2025-01-18,お菓子の包み紙でしおり作成。甘い思い出が本に残る♡,趣味,リサイクル,アート
93,2025-01-26,夕日を見て「明日も頑張ろう」と元気が出た。,思考,前向き,癒し
94,2025-02-05,雪だるまを家族で制作。ニンジンの鼻が決まった！,旅行,雪,家族
95,2025-02-13,バレンタインチョコを友チョコで交換。手作りクッキーが好評！,健康,友情,スイーツ
96,2025-02-21,ミニチュア家具を粘土で制作。1/12サイズのソファが完成♪,創作,ミニチュア,集中
97,2025-03-01,「もったいないキッチン」を読んで食品ロスについて考えた。,読書,社会,気づき
98,2025-03-09,ひな祭りに三色ゼリー。ピンク・白・緑の層が綺麗！,料理,行事食,春
99,2025-03-17,雲の形が子犬に見えて、ずっと眺めていたら消えてしまった！,夢,空,動物
100,2025-03-25,桜の開花予想をチェック。お花見の計画を立てるワクワク。,目標,春,自然
